id;creation_date;vquestion;vquestion_description;vtopic_id
1;2021-02-09T22:35:07;secondary synthesize;Tactics grey;1
2;2021-02-10T11:42:04;Directives;Concrete green best-of-breed;2
3;2021-02-10T19:56:49;support;Colombian Peso Unidad de Valor Real methodical;3
4;2021-02-10T01:40:02;Tasty;Florida Business-focused Fantastic Concrete Table;4
5;2021-02-10T15:25:11;adapter;Baby Senior;5
6;2021-02-10T20:56:32;programming Credit Card Account;online Intelligent flexibility;6
7;2021-02-10T02:36:08;Dynamic;SMTP Serbia;7
8;2021-02-10T02:45:14;Buckinghamshire;Roads Consultant;8
9;2021-02-10T02:45:29;Forward;bluetooth Massachusetts metrics;9
10;2021-02-10T14:44:34;Regional;Synergistic optimize Reactive;10
