id;creation_date;comment_text;is_offensive;post_id
1;2021-02-10T01:22:50;Arkansas Hawaii;false;1
2;2021-02-10T21:29:57;visionary magenta;true;2
3;2021-02-10T00:10:23;Lead;true;3
4;2021-02-10T01:21:00;Gorgeous reintermediate;true;4
5;2021-02-10T04:28:22;programming;true;5
6;2021-02-10T09:55:44;Fresh South Carolina;false;6
7;2021-02-10T10:41:00;mint green Metrics sky blue;false;7
8;2021-02-10T02:45:29;synthesize;true;8
9;2021-02-10T04:32:39;Savings Account bricks-and-clicks;true;9
10;2021-02-10T02:13:07;application Knoll;false;10
